date,powerusage,weekday,day_name,weekday_status,hour,month,season,날짜,MEF,min_cutoff,max_cutoff,변화율_100이상_주중,변화율_100미만_주중,변화율_100이상_주말,변화율_100미만_주말,최대제한,최소제한,optimized_powerusage,MEF_CO2
2021-05-30 10:00:00,53.96624495811996,6,Sunday,X,10,5,봄,2021-05-30,0.7436169024918615,46.751357711580155,99.1101174213961,103.90128412052773,96.16007838176307,123.80730305370945,78.60591109402498,56.07162150311619,51.89398345142241,50.472247476325904,-2.5981955847260587
2021-05-30 11:00:00,54.742841353456924,6,Sunday,X,11,5,봄,2021-05-30,0.5310886304880748,47.592220172392615,98.9702920086911,102.92465593688347,96.55231166297827,122.0889403254474,79.72455282688318,56.34388111311951,52.85547879675948,56.24578856272108,0.798198175063975
2021-05-30 12:00:00,53.430786393583155,6,Sunday,X,12,5,봄,2021-05-30,0.6807723839864205,46.34714673592862,96.61934756402857,102.31452447768366,97.05798824547718,120.92653215072275,80.4492932711439,54.66745502328151,51.858846377349956,49.273132697084115,-2.8304158187556046
2021-05-30 13:00:00,51.16529780520898,6,Sunday,X,13,5,봄,2021-05-30,0.5881369096218281,44.15137304352237,93.19860474774882,101.52773045067468,97.0852602375996,119.84730345656509,81.10238606858145,51.94696563995754,49.673962525529966,52.11124370395597,0.5563456975584983
2021-05-30 14:00:00,49.18337580323369,6,Sunday,X,14,5,봄,2021-05-30,0.6989115788442302,42.2419140705962,89.95238341549135,101.31760931521883,97.67272958906119,119.95539597352702,83.2894404823293,49.83142054435618,48.03874565106419,44.881555485062144,-3.006592030477462
2021-05-30 15:00:00,48.43013153894011,6,Sunday,X,15,5,봄,2021-05-30,0.5715395671793382,41.56389253449197,87.8342682822015,101.17979322355241,97.99867472131434,117.8426481335395,84.4898083223389,49.00150694899405,47.46088707395059,46.298511421224184,-1.2183052394701301
2021-05-30 16:00:00,49.03850109359642,6,Sunday,X,16,5,봄,2021-05-30,0.7848659945966994,42.250252851321946,86.98674683819443,101.23408900924758,98.05879266967591,115.12151421582537,86.16984014983075,49.64367984589226,48.086562115686476,42.250252851318336,-5.327865208244887
2021-05-30 17:00:00,50.05605941831857,6,Sunday,X,17,5,봄,2021-05-30,0.853110045432376,43.348575046331,86.46793472410181,101.64422883921573,98.13327132478118,112.22864064618393,88.06868251414447,50.87909558304952,49.12164860347224,43.34857504632933,-5.7222222973246915
2021-05-30 18:00:00,49.85664714346508,6,Sunday,X,18,5,봄,2021-05-30,0.7626051485488671,43.23270153728612,84.66310244720776,101.95307899026996,97.8455954736547,111.71833190708007,90.98273612018235,50.83038684407713,48.78253328072226,43.232701537284264,-5.051455022981139
2021-05-30 19:00:00,47.189447593547,6,Sunday,X,19,5,봄,2021-05-30,0.6624682533830756,40.651814131163775,80.33364186931648,102.11439368498026,97.22980234414649,110.47324361357947,92.48799926656004,48.18721829344203,45.88220662250034,45.24313581993283,-1.289369761205095
2021-05-30 20:00:00,42.16888692352481,6,Sunday,X,20,5,봄,2021-05-30,0.6479714565675059,35.72033414796735,73.60684660672158,102.64691731498127,96.73297365287983,110.8017596218272,93.90444744155201,43.28506249303846,40.79121827744594,44.95395994343291,1.8046478213567165
2021-05-30 21:00:00,36.36676125933005,6,Sunday,X,21,5,봄,2021-05-30,0.4268159361647624,30.01004955107684,66.06791156159053,103.1783161602558,96.02590659886948,108.19332491686454,94.5229281077497,37.522611909396986,34.921512199918126,43.26402487929654,2.9438620289311572
2021-05-30 22:00:00,31.802360205208586,6,Sunday,X,22,5,봄,2021-05-30,0.9122010349374255,23.981908713332388,60.111253270307245,103.8147748785515,95.411076139903,103.77507656936241,89.01952765422428,33.015548653103345,30.342974109677776,33.507544111012585,1.5554705236330493
2021-05-30 23:00:00,29.557354804749096,6,Sunday,X,23,5,봄,2021-05-30,0.5281232895509692,20.031911982972346,57.91610608285825,104.18784120516246,94.79732076958028,107.22178367551066,87.97001755309674,30.795169888418446,28.01958044526095,30.79516988841875,0.6537189738434267
2021-05-31 00:00:00,29.130191896934278,0,Monday,O,0,5,봄,2021-05-31,0.4341005137013984,23.065434165938562,75.52306456524724,126.18496746219522,86.69033802504408,151.68679950839788,63.87726312567794,36.75792316682155,25.253061822796326,36.75792316682111,3.311202062634093
2021-05-31 01:00:00,29.078508186278,0,Monday,O,1,5,봄,2021-05-31,0.7012250632177575,23.11648496032219,74.56441547330436,125.01925334453607,87.01114099460665,156.30121786392957,62.10517356406574,36.35373381821456,25.301541757090586,33.01691377666433,2.7617087090958248
2021-05-31 02:00:00,28.424000582116122,0,Monday,O,2,5,봄,2021-05-31,0.5438064651254082,22.56738167604376,72.92539113185296,124.10934508458509,87.26026729886156,162.7322379714306,59.88090251757127,35.276840969302974,24.802858884984495,34.12116603642148,3.098155406940386
2021-05-31 03:00:00,27.645143125677883,0,Monday,O,3,5,봄,2021-05-31,0.6893090213323019,21.896570396024053,71.09598257989099,123.1091428361095,87.55907258122006,170.6034337711229,57.516071987433115,34.03369873783769,24.20583093459447,29.7740816574638,1.4674965358219776
2021-05-31 04:00:00,28.43294456783407,0,Monday,O,4,5,봄,2021-05-31,0.7237037615390649,22.795028692962944,70.77913953530263,120.95183859977128,88.33975370694795,173.46085352159622,56.74000366865811,34.390169222849096,25.117593202857652,27.645143125677937,-0.5701348670342942
2021-05-31 05:00:00,32.421391965587205,0,Monday,O,5,5,봄,2021-05-31,0.6671478218363384,26.89670926226485,73.62107985976732,117.2677222813171,89.8600686042524,164.64572190788823,59.24982076647297,38.019827889942064,29.133885062730236,28.758566917518227,-2.4436457525868
2021-05-31 06:00:00,39.91949582864872,0,Monday,O,6,5,봄,2021-05-31,0.6648887111146038,34.51058511308352,79.94319876605098,112.66792738006096,91.56478824091904,150.55996841682557,64.30948142733426,44.976468570708406,36.55220182234471,34.510585113083756,-3.5963236742059586
2021-05-31 07:00:00,49.592525356684504,0,Monday,O,7,5,봄,2021-05-31,0.7060109545318387,44.3018848520738,88.42316791141255,109.42243970364471,93.35874571028316,138.9856596149471,69.64602125550881,54.26535115593281,46.298959639054786,44.30188485207407,-3.735250152744823
2021-05-31 08:00:00,59.21292412566603,0,Monday,O,8,5,봄,2021-05-31,0.7335675372188084,54.04300842373823,96.8457163267718,106.83336011841686,94.6072458210023,131.33596764898883,73.87239202871926,63.25915646781773,56.01971668537243,54.04300842373853,-3.7924823290918037
2021-05-31 09:00:00,66.80185801830939,0,Monday,O,9,5,봄,2021-05-31,0.6687472727838064,61.755075099057066,103.26105949519884,105.09899259495795,95.5105282145785,126.6335102243135,76.77034365532454,70.2080798119573,63.802807450440056,61.75507509905731,-3.3750223135817263
2021-05-31 10:00:00,71.36435026335016,0,Monday,O,10,5,봄,2021-05-31,0.7058433789149636,66.44305857865689,106.69244935305474,103.90128412052773,96.16007838176307,123.80730305370945,78.60591109402498,74.14847632789203,68.62401514987346,66.44305857865714,-3.473661151349833
2021-05-31 11:00:00,72.94536394853918,0,Monday,O,11,5,봄,2021-05-31,0.6288316410614143,68.15186957276799,107.18815596806472,102.92465593688347,96.55231166297827,122.0889403254474,79.72455282688318,75.07876486594138,70.43043514328734,74.5593512890823,1.0149263080060773
2021-05-31 12:00:00,72.2994589960655,0,Monday,O,12,5,봄,2021-05-31,0.5726582452434354,67.34506870900695,105.67558153523589,102.31452447768366,97.05798824547718,120.92653215072275,80.4492932711439,73.9728476717623,70.17240041394484,81.35509019874114,5.185781874095934
2021-05-31 13:00:00,70.55779109973601,0,Monday,O,13,5,봄,2021-05-31,0.6181150678086103,65.0037216386433,103.27045485526372,101.52773045067468,97.0852602375996,119.84730345656509,81.10238606858145,71.6357239596901,68.50121510708058,73.37271999866344,1.7399499672369474
2021-05-31 14:00:00,68.95465957651889,0,Monday,O,14,5,봄,2021-05-31,0.5752657772303088,62.8557825467095,101.04472525151759,101.31760931521883,97.67272958906119,119.95539597352702,83.2894404823293,69.86321259437653,67.34989818723098,75.88206823159074,3.9851011241518726
2021-05-31 15:00:00,68.43385566823572,0,Monday,O,15,5,봄,2021-05-31,0.6182399996193249,61.60216797727661,99.94156891971573,101.17979322355241,97.99867472131434,117.8426481335395,84.4898083223389,69.2412336600252,67.06427161556807,67.72073585105369,-0.4408791955031531
2021-05-31 16:00:00,69.12838121928205,0,Monday,O,16,5,봄,2021-05-31,0.7637890802280138,61.63595046452992,100.09272155674103,101.23408900924758,98.05879266967591,115.12151421582537,86.16984014983075,69.98148697417997,67.78645601571895,61.63595046453035,-5.72263679484388
2021-05-31 17:00:00,70.08725212823809,0,Monday,O,17,5,봄,2021-05-31,0.8641172566547652,62.010744245152964,100.54532201693573,101.64422883921573,98.13327132478118,112.22864064618393,88.06868251414447,71.23964694034441,68.77891329508736,62.01074424515352,-6.979049835281628
2021-05-31 18:00:00,69.68709967309628,0,Monday,O,18,5,봄,2021-05-31,0.7443924680026391,61.106913783302424,99.67356208531535,101.95307899026996,97.8455954736547,111.71833190708007,90.98273612018235,71.04814377574002,68.18575764346033,61.10691378330287,-6.387025750424739
2021-05-31 19:00:00,66.68120739412846,0,Monday,O,19,5,봄,2021-05-31,0.6099486260077032,57.680565195620765,96.5964634525249,102.11439368498026,97.22980234414649,110.47324361357947,92.48799926656004,68.0911106323385,64.8340061500015,64.58181171931078,-1.2805235073015622
2021-05-31 20:00:00,61.18935697739189,0,Monday,O,20,5,봄,2021-05-31,0.5765038598787562,51.853357156748515,91.20577728900078,102.64691731498127,96.73297365287983,110.8017596218272,93.90444744155201,62.80898866215217,59.19028456330709,65.7210482670395,2.6125375202607906
2021-05-31 21:00:00,54.789887704206784,0,Monday,O,21,5,봄,2021-05-31,0.6437615167084256,45.20453632161772,84.90912083787175,103.1783161602558,96.02590659886948,108.19332491686454,94.5229281077497,56.531283559295595,52.61248639246708,57.529980095390364,1.7639660336695584
2021-05-31 22:00:00,49.50973967633486,0,Monday,O,22,5,봄,2021-05-31,0.5486132545472866,39.76096781515306,79.73334090012645,103.8147748785515,95.411076139903,103.77507656936241,89.01952765422428,51.39842478794393,47.23777541925562,57.73876504531985,4.514552389431042
2021-05-31 23:00:00,46.43924989578478,0,Monday,O,23,5,봄,2021-05-31,0.6329338708713004,36.61193005702137,76.7686792078226,104.18784120516246,94.79732076958028,107.22178367551066,87.97001755309674,48.38405193828882,44.02316468669408,48.38405193828873,1.230931084840433
